datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2017/10/11 22:38:02,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,0,0,-999,-13.1089,-41.4342,,PARNA DA CHAPADA DA DIAMANTINA
2017/01/28 00:41:00,METOP-B,Brasil,BAHIA,ITAETE,Caatinga,0,0.5,1,-13.2643995285034,-41.1184005737305,,PARNA DA CHAPADA DA DIAMANTINA
2017/07/21 16:17:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0,1,-13.06346,-41.3673,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/27 01:09:00,TERRA_M-M,Brasil,BAHIA,IBICOARA,Caatinga,0,0.4,1,-13.255,-41.192,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/29 16:43:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,0,0,1,-12.95203,-41.20376,,PARNA DA CHAPADA DA DIAMANTINA
2017/03/10 01:02:00,TERRA_M-M,Brasil,BAHIA,LENCOIS,Caatinga,0,0,1,-12.389,-41.308,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/25 16:17:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,0,0,1,-13.23062,-41.17679,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/25 16:17:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,0,0,1,-13.2422,-41.18587,,PARNA DA CHAPADA DA DIAMANTINA
2017/01/27 12:54:00,TERRA_M-T,Brasil,BAHIA,ITAETE,Caatinga,0,0,1,-13.287,-41.128,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/26 23:04:06,GOES-16,Brasil,BAHIA,ITAETE,Caatinga,0,0.2,1,-13.24,-41.16,,PARNA DA CHAPADA DA DIAMANTINA
2017/02/04 01:15:00,TERRA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,0,0.2,1,-13.053,-41.457,,PARNA DA CHAPADA DA DIAMANTINA
2017/01/24 16:55:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0,1,-13.21858,-41.33513,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/26 15:59:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,0,0.3,1,-13.24959,-41.18776,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/25 19:01:36,GOES-13,Brasil,BAHIA,ITAETE,Caatinga,0,0,1,-13.25,-41.16,,PARNA DA CHAPADA DA DIAMANTINA
2017/03/23 21:28:34,NOAA-18,Brasil,BAHIA,ITAETE,Caatinga,0,0,1,-13.2625,-41.161,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/25 16:38:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0,1,-13.244,-41.183,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/27 01:09:00,TERRA_M-M,Brasil,BAHIA,IBICOARA,Caatinga,0,0.4,1,-13.265,-41.19,,PARNA DA CHAPADA DA DIAMANTINA
2017/07/21 16:17:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0,1,-13.06293,-41.36376,,PARNA DA CHAPADA DA DIAMANTINA
2017/06/15 22:02:26,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,0,0,1,-13.0298,-41.4498,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/11 20:34:06,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,0,0,1,-13.06,-41.4,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/27 00:17:29,METOP-B,Brasil,BAHIA,ITAETE,Caatinga,0,0.4,1,-13.2532997131348,-41.1661987304688,,PARNA DA CHAPADA DA DIAMANTINA
2017/08/09 17:01:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,0,0,1,-13.35805,-41.35146,,PARNA DA CHAPADA DA DIAMANTINA
2017/06/17 21:55:49,NOAA-15,Brasil,BAHIA,MUCUGE,Caatinga,0,0,1,-13.0604,-41.474,,PARNA DA CHAPADA DA DIAMANTINA
