,datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
0,2019/10/14 04:00:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,11,0.0,1.0,-12.39069,-41.41032,1.3,PARNA DA CHAPADA DA DIAMANTINA
1,2019/10/09 15:31:37,NOAA-20,Brasil,BAHIA,PALMEIRAS,Caatinga,9,0.0,0.9,-12.538739999999999,-41.52832,,PARNA DA CHAPADA DA DIAMANTINA
2,2019/10/14 16:36:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,11,0.0,1.0,-12.400889999999999,-41.40807,3.8,PARNA DA CHAPADA DA DIAMANTINA
3,2019/10/03 15:44:09,NOAA-20,Brasil,BAHIA,IBICOARA,Caatinga,3,0.0,1.0,-13.324279999999998,-41.39267,,PARNA DA CHAPADA DA DIAMANTINA
4,2019/10/03 16:42:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-12.98108,-41.51354,4.4,PARNA DA CHAPADA DA DIAMANTINA
5,2019/10/25 15:31:51,NOAA-20,Brasil,BAHIA,ITAETE,Caatinga,0,0.0,0.0,-13.07115,-41.148590000000006,,PARNA DA CHAPADA DA DIAMANTINA
6,2019/10/01 16:20:35,NOAA-20,Brasil,BAHIA,PALMEIRAS,Caatinga,0,0.0,0.7,-12.66869,-41.62787,,PARNA DA CHAPADA DA DIAMANTINA
7,2019/10/14 15:38:00,NOAA-20,Brasil,BAHIA,LENCOIS,Caatinga,11,0.0,1.0,-12.38984,-41.40985,,PARNA DA CHAPADA DA DIAMANTINA
8,2019/10/25 16:30:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,0,0.0,0.0,-13.07207,-41.14605,4.0,PARNA DA CHAPADA DA DIAMANTINA
9,2019/10/17 16:19:23,NOAA-20,Brasil,BAHIA,IRAQUARA,Caatinga,17,0.0,1.0,-12.36817,-41.46886,,PARNA DA CHAPADA DA DIAMANTINA
10,2019/10/06 16:25:32,NOAA-20,Brasil,BAHIA,ITAETE,Caatinga,6,0.0,0.9,-13.14298,-41.128890000000006,,PARNA DA CHAPADA DA DIAMANTINA
11,2019/10/28 15:30:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,4,0.0,0.6,-13.0792,-41.14177,9.6,PARNA DA CHAPADA DA DIAMANTINA
12,2019/10/20 17:03:37,NOAA-20,Brasil,BAHIA,IRAQUARA,Caatinga,19,0.0,1.0,-12.396469999999999,-41.4385,,PARNA DA CHAPADA DA DIAMANTINA
13,2019/10/30 15:55:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.008,-41.394,107.2,PARNA DA CHAPADA DA DIAMANTINA
14,2019/10/03 14:34:04,GOES-16,Brasil,BAHIA,IBICOARA,Caatinga,3,0.0,1.0,-13.32,-41.39,,PARNA DA CHAPADA DA DIAMANTINA
15,2019/10/09 15:31:37,NOAA-20,Brasil,BAHIA,PALMEIRAS,Caatinga,9,0.0,0.9,-12.53968,-41.52778,,PARNA DA CHAPADA DA DIAMANTINA
16,2019/10/26 16:06:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,2,0.0,0.7,-12.36797,-41.40035,2.6,PARNA DA CHAPADA DA DIAMANTINA
17,2019/10/14 15:38:00,NOAA-20,Brasil,BAHIA,LENCOIS,Caatinga,11,0.0,1.0,-12.388160000000001,-41.407140000000005,,PARNA DA CHAPADA DA DIAMANTINA
18,2019/10/03 14:04:03,GOES-16,Brasil,BAHIA,IBICOARA,Caatinga,3,0.0,1.0,-13.32,-41.39,,PARNA DA CHAPADA DA DIAMANTINA
19,2019/10/17 16:19:23,NOAA-20,Brasil,BAHIA,ITAETE,Caatinga,5,0.0,0.9,-12.92257,-41.22927,,PARNA DA CHAPADA DA DIAMANTINA
20,2019/10/14 04:00:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,11,0.0,1.0,-12.38793,-41.406259999999996,1.3,PARNA DA CHAPADA DA DIAMANTINA
21,2019/10/30 16:36:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.00034,-41.39182,12.4,PARNA DA CHAPADA DA DIAMANTINA
22,2019/10/31 03:42:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,7,0.0,1.0,-13.34041,-41.35536,2.2,PARNA DA CHAPADA DA DIAMANTINA
23,2019/10/26 16:06:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,2,0.0,0.4,-12.36872,-41.38136,7.4,PARNA DA CHAPADA DA DIAMANTINA
24,2019/10/30 15:38:14,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.00566,-41.3958,,PARNA DA CHAPADA DA DIAMANTINA
25,2019/10/30 15:38:14,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.8,-13.00067,-41.3964,,PARNA DA CHAPADA DA DIAMANTINA
26,2019/10/06 03:57:18,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,6,0.0,0.7,-13.231,-41.366659999999996,,PARNA DA CHAPADA DA DIAMANTINA
27,2019/10/03 15:44:09,NOAA-20,Brasil,BAHIA,IBICOARA,Caatinga,3,0.0,1.0,-13.32821,-41.38771,,PARNA DA CHAPADA DA DIAMANTINA
28,2019/10/06 16:25:32,NOAA-20,Brasil,BAHIA,ITAETE,Caatinga,6,0.0,0.9,-13.1432,-41.1315,,PARNA DA CHAPADA DA DIAMANTINA
29,2019/10/27 16:32:09,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,3,0.0,0.1,-13.20845,-41.4053,,PARNA DA CHAPADA DA DIAMANTINA
30,2019/10/09 16:30:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,9,0.0,1.0,-13.326379999999999,-41.34626,2.7,PARNA DA CHAPADA DA DIAMANTINA
31,2019/10/14 16:36:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,11,0.0,1.0,-12.38923,-41.4104,18.6,PARNA DA CHAPADA DA DIAMANTINA
32,2019/10/03 16:42:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,3,0.0,1.0,-12.98016,-41.51386,5.6,PARNA DA CHAPADA DA DIAMANTINA
