,datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
0,2017/03/10 01:02:00,TERRA_M-M,Brasil,BAHIA,LENCOIS,Caatinga,0,0.0,1.0,-12.389000000000001,-41.308,,PARNA DA CHAPADA DA DIAMANTINA
1,2017/03/23 21:28:34,NOAA-18,Brasil,BAHIA,ITAETE,Caatinga,0,0.0,1.0,-13.2625,-41.161,,PARNA DA CHAPADA DA DIAMANTINA
2,2017/03/06 03:12:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.72718,-41.52237,,PARNA DA CHAPADA DA DIAMANTINA
3,2017/03/07 20:57:07,NOAA-15,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7362,-41.5135,,PARNA DA CHAPADA DA DIAMANTINA
4,2017/03/07 21:04:13,NOAA-15,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7362,-41.5135,,PARNA DA CHAPADA DA DIAMANTINA
5,2017/03/06 01:27:00,TERRA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.722999999999999,-41.508,,PARNA DA CHAPADA DA DIAMANTINA
6,2017/03/03 16:42:00,NPP-375,Brasil,BAHIA,PALMEIRAS,Caatinga,0,0.0,1.0,-12.38317,-41.52415,,PARNA DA CHAPADA DA DIAMANTINA
7,2017/03/08 00:40:04,METOP-B,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.0486001968384,-41.4305000305176,,PARNA DA CHAPADA DA DIAMANTINA
8,2017/03/10 16:10:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.3,1.0,-13.21613,-41.31905,,PARNA DA CHAPADA DA DIAMANTINA
9,2017/03/08 00:35:00,METOP-B,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.0507001876831,-41.4394989013672,,PARNA DA CHAPADA DA DIAMANTINA
10,2017/03/07 17:07:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.72472,-41.50608,,PARNA DA CHAPADA DA DIAMANTINA
11,2017/03/23 21:32:38,NOAA-18,Brasil,BAHIA,IBICOARA,Caatinga,0,0.0,1.0,-13.2637,-41.1687,,PARNA DA CHAPADA DA DIAMANTINA
12,2017/03/06 01:27:00,TERRA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.725,-41.516999999999996,,PARNA DA CHAPADA DA DIAMANTINA
13,2017/03/06 03:12:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.723930000000001,-41.51975,,PARNA DA CHAPADA DA DIAMANTINA
14,2017/03/06 03:12:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.722539999999999,-41.511790000000005,,PARNA DA CHAPADA DA DIAMANTINA
15,2017/03/06 03:12:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.72127,-41.51778,,PARNA DA CHAPADA DA DIAMANTINA
16,2017/03/06 03:12:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.725430000000001,-41.51239,,PARNA DA CHAPADA DA DIAMANTINA
17,2017/03/03 22:04:06,NOAA-18,Brasil,BAHIA,PALMEIRAS,Caatinga,0,0.0,1.0,-12.509,-41.5654,,PARNA DA CHAPADA DA DIAMANTINA
18,2017/03/08 01:15:00,TERRA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.052,-41.443000000000005,,PARNA DA CHAPADA DA DIAMANTINA
19,2017/03/03 21:54:41,NOAA-18,Brasil,BAHIA,PALMEIRAS,Caatinga,0,0.0,1.0,-12.5117,-41.5794,,PARNA DA CHAPADA DA DIAMANTINA
20,2017/03/08 00:35:00,METOP-B,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.0486001968384,-41.4305000305176,,PARNA DA CHAPADA DA DIAMANTINA
21,2017/03/08 00:40:04,METOP-B,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-13.0507001876831,-41.4394989013672,,PARNA DA CHAPADA DA DIAMANTINA
22,2017/03/06 04:52:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.726519999999999,-41.50946,,PARNA DA CHAPADA DA DIAMANTINA
23,2017/03/06 04:52:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.71931,-41.51422,,PARNA DA CHAPADA DA DIAMANTINA
24,2017/03/03 16:42:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7836,-41.540240000000004,,PARNA DA CHAPADA DA DIAMANTINA
25,2017/03/06 03:12:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.7249,-41.533229999999996,,PARNA DA CHAPADA DA DIAMANTINA
