,datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
0,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.79241,-41.38722,,PARNA DA CHAPADA DA DIAMANTINA
1,2015/11/16 16:13:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,15,5.2,1.0,-13.02547,-41.29462,,PARNA DA CHAPADA DA DIAMANTINA
2,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.78743,-41.375040000000006,,PARNA DA CHAPADA DA DIAMANTINA
3,2015/11/16 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,15,5.4,1.0,-13.048,-41.3,,PARNA DA CHAPADA DA DIAMANTINA
4,2015/09/13 03:40:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.772110000000001,-41.38451,,PARNA DA CHAPADA DA DIAMANTINA
5,2015/12/18 13:31:00,TERRA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,12,0.0,0.6,-12.674000000000001,-41.326,,PARNA DA CHAPADA DA DIAMANTINA
6,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.78962,-41.38295,,PARNA DA CHAPADA DA DIAMANTINA
7,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.77663,-41.38531,,PARNA DA CHAPADA DA DIAMANTINA
8,2015/09/12 12:48:00,TERRA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.782,-41.379,,PARNA DA CHAPADA DA DIAMANTINA
9,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.77944,-41.38123,,PARNA DA CHAPADA DA DIAMANTINA
10,2015/09/13 01:03:00,TERRA_M-M,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.789000000000001,-41.39,,PARNA DA CHAPADA DA DIAMANTINA
11,2015/09/12 20:13:02,NOAA-18,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.789000000000001,-41.39,,PARNA DA CHAPADA DA DIAMANTINA
12,2015/09/13 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.772,-41.386,,PARNA DA CHAPADA DA DIAMANTINA
13,2015/09/12 23:30:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.78,-41.36,,PARNA DA CHAPADA DA DIAMANTINA
14,2015/09/13 16:14:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.777460000000001,-41.37806,,PARNA DA CHAPADA DA DIAMANTINA
15,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.785630000000001,-41.38604,,PARNA DA CHAPADA DA DIAMANTINA
16,2015/09/13 16:14:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.76481,-41.38763,,PARNA DA CHAPADA DA DIAMANTINA
17,2015/09/12 20:13:02,NOAA-18,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.79,-41.397,,PARNA DA CHAPADA DA DIAMANTINA
18,2015/11/15 16:32:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,15,0.0,1.0,-13.0246,-41.30792,,PARNA DA CHAPADA DA DIAMANTINA
19,2015/09/15 17:26:04,NOAA-19,Brasil,BAHIA,ANDARAI,Caatinga,22,0.0,1.0,-12.782,-41.391000000000005,,PARNA DA CHAPADA DA DIAMANTINA
20,2015/12/18 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,12,0.0,0.8,-12.681,-41.333999999999996,,PARNA DA CHAPADA DA DIAMANTINA
21,2015/11/26 16:26:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,4,31.7,0.1,-13.0428,-41.29983,,PARNA DA CHAPADA DA DIAMANTINA
22,2015/12/13 16:07:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,7,0.0,0.5,-12.82822,-41.315290000000005,,PARNA DA CHAPADA DA DIAMANTINA
23,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.785960000000001,-41.37508,,PARNA DA CHAPADA DA DIAMANTINA
24,2015/09/13 03:40:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.774460000000001,-41.39651,,PARNA DA CHAPADA DA DIAMANTINA
25,2015/09/12 01:00:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.78,-41.34,,PARNA DA CHAPADA DA DIAMANTINA
26,2015/08/25 13:01:00,TERRA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,1,0.5,1.0,-12.735999999999999,-41.273999999999994,,PARNA DA CHAPADA DA DIAMANTINA
27,2015/11/26 14:30:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,4,31.4,0.1,-13.05,-41.28,,PARNA DA CHAPADA DA DIAMANTINA
28,2015/01/29 17:30:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,3,0.0,0.7,-12.74,-41.34,,PARNA DA CHAPADA DA DIAMANTINA
29,2015/09/12 01:00:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.78,-41.36,,PARNA DA CHAPADA DA DIAMANTINA
30,2015/12/18 19:00:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,12,0.0,1.0,-12.66,-41.3,,PARNA DA CHAPADA DA DIAMANTINA
31,2015/12/16 03:30:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,10,0.0,1.0,-13.01,-41.29,,PARNA DA CHAPADA DA DIAMANTINA
32,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.78089,-41.38905,,PARNA DA CHAPADA DA DIAMANTINA
33,2015/09/15 17:26:04,NOAA-19,Brasil,BAHIA,ANDARAI,Caatinga,23,0.0,1.0,-12.780999999999999,-41.382,,PARNA DA CHAPADA DA DIAMANTINA
34,2015/11/15 16:32:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,15,0.0,1.0,-13.01942,-41.3085,,PARNA DA CHAPADA DA DIAMANTINA
