,datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
0,2015/12/12 05:01:35,NOAA-19D,Brasil,BAHIA,IBICOARA,Caatinga,7,0.0,0.9,-13.259,-41.203,,PARNA DA CHAPADA DA DIAMANTINA
1,2015/11/13 15:29:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,13,0.0,0.9,-13.35392,-41.2416,,PARNA DA CHAPADA DA DIAMANTINA
2,2015/11/10 16:26:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,10,0.0,1.0,-13.34815,-41.27257,,PARNA DA CHAPADA DA DIAMANTINA
3,2015/11/04 16:38:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,4,0.0,0.9,-13.365039999999999,-41.27858,,PARNA DA CHAPADA DA DIAMANTINA
4,2015/11/14 01:15:00,TERRA_M-M,Brasil,BAHIA,IBICOARA,Caatinga,14,0.3,1.0,-13.373,-41.233999999999995,,PARNA DA CHAPADA DA DIAMANTINA
5,2015/12/13 16:07:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,8,0.0,1.0,-13.262260000000001,-41.206790000000005,,PARNA DA CHAPADA DA DIAMANTINA
6,2015/11/10 16:26:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,10,0.0,1.0,-13.4042,-41.25547,,PARNA DA CHAPADA DA DIAMANTINA
7,2015/05/19 13:13:00,TERRA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,6,0.3,1.0,-13.261,-41.415,,PARNA DA CHAPADA DA DIAMANTINA
8,2015/11/11 03:33:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,11,0.0,0.9,-13.34914,-41.25266,,PARNA DA CHAPADA DA DIAMANTINA
9,2015/12/06 00:30:00,GOES-13,Brasil,BAHIA,IBICOARA,Caatinga,0,0.1,0.4,-13.28,-41.21,,PARNA DA CHAPADA DA DIAMANTINA
10,2015/11/13 20:02:15,NOAA-18,Brasil,BAHIA,IBICOARA,Caatinga,13,0.0,1.0,-13.323,-41.273,,PARNA DA CHAPADA DA DIAMANTINA
11,2015/11/14 01:15:00,TERRA_M-M,Brasil,BAHIA,IBICOARA,Caatinga,14,0.3,1.0,-13.374,-41.244,,PARNA DA CHAPADA DA DIAMANTINA
12,2015/11/11 00:44:00,TERRA_M-M,Brasil,BAHIA,IBICOARA,Caatinga,11,0.0,0.9,-13.345,-41.268,,PARNA DA CHAPADA DA DIAMANTINA
13,2015/11/08 20:30:00,GOES-13,Brasil,BAHIA,IBICOARA,Caatinga,8,0.0,1.0,-13.4,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
14,2015/12/12 03:52:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,7,0.0,1.0,-13.262870000000001,-41.217859999999995,,PARNA DA CHAPADA DA DIAMANTINA
15,2015/12/17 16:32:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,7,0.0,1.0,-13.24959,-41.20387,,PARNA DA CHAPADA DA DIAMANTINA
16,2015/12/11 13:25:00,TERRA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,6,0.0,0.9,-13.261,-41.218999999999994,,PARNA DA CHAPADA DA DIAMANTINA
17,2015/11/08 20:15:00,MSG-03,Brasil,BAHIA,IBICOARA,Caatinga,8,0.0,0.9,-13.39,-41.27,,PARNA DA CHAPADA DA DIAMANTINA
18,2015/12/18 03:39:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,8,0.0,1.0,-13.245220000000002,-41.198190000000004,,PARNA DA CHAPADA DA DIAMANTINA
19,2015/11/10 01:40:00,TERRA_M-M,Brasil,BAHIA,IBICOARA,Caatinga,10,0.0,0.9,-13.398,-41.266999999999996,,PARNA DA CHAPADA DA DIAMANTINA
20,2015/10/23 20:43:20,NOAA-18,Brasil,BAHIA,IBICOARA,Caatinga,65,0.0,1.0,-13.283,-41.357,,PARNA DA CHAPADA DA DIAMANTINA
21,2015/11/11 00:44:00,TERRA_M-M,Brasil,BAHIA,IBICOARA,Caatinga,11,0.0,1.0,-13.355,-41.273,,PARNA DA CHAPADA DA DIAMANTINA
22,2015/11/08 16:45:00,MSG-03,Brasil,BAHIA,IBICOARA,Caatinga,8,0.0,0.8,-13.36,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
23,2015/12/06 04:28:43,NOAA-19D,Brasil,BAHIA,IBICOARA,Caatinga,0,0.1,0.2,-13.304,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
24,2015/12/06 01:00:00,GOES-13,Brasil,BAHIA,IBICOARA,Caatinga,0,0.1,0.4,-13.28,-41.21,,PARNA DA CHAPADA DA DIAMANTINA
25,2015/12/06 03:41:00,AQUA_M-M,Brasil,BAHIA,IBICOARA,Caatinga,0,0.1,0.5,-13.288,-41.193000000000005,,PARNA DA CHAPADA DA DIAMANTINA
26,2015/11/09 04:11:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,9,0.0,1.0,-13.37786,-41.24343,,PARNA DA CHAPADA DA DIAMANTINA
27,2015/11/11 03:33:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,11,0.0,1.0,-13.33429,-41.2785,,PARNA DA CHAPADA DA DIAMANTINA
28,2015/11/10 16:26:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,10,0.0,1.0,-13.338610000000001,-41.277840000000005,,PARNA DA CHAPADA DA DIAMANTINA
29,2015/12/09 15:42:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,4,0.0,0.5,-13.294120000000001,-41.20899,,PARNA DA CHAPADA DA DIAMANTINA
