,datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
0,2015/12/07 16:20:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,0.4,-12.365789999999999,-41.45621,,PARNA DA CHAPADA DA DIAMANTINA
1,2015/12/07 03:46:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,0.4,-12.3603,-41.457240000000006,,PARNA DA CHAPADA DA DIAMANTINA
2,2015/12/07 03:46:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,0.4,-12.36127,-41.45175,,PARNA DA CHAPADA DA DIAMANTINA
3,2015/12/07 16:20:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,0.4,-12.361939999999999,-41.453179999999996,,PARNA DA CHAPADA DA DIAMANTINA
4,2015/12/07 01:21:00,TERRA_M-M,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,0.4,-12.363,-41.45399999999999,,PARNA DA CHAPADA DA DIAMANTINA
5,2015/12/07 16:20:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,0.4,-12.36632,-41.45975,,PARNA DA CHAPADA DA DIAMANTINA
6,2015/12/07 16:39:00,AQUA_M-T,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,0.4,-12.368,-41.466,,PARNA DA CHAPADA DA DIAMANTINA
7,2015/12/25 20:20:53,NOAA-18,Brasil,BAHIA,IRAQUARA,Caatinga,19,0.0,0.8,-12.360999999999999,-41.473,,PARNA DA CHAPADA DA DIAMANTINA
8,2015/12/07 16:39:00,AQUA_M-T,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,0.4,-12.366,-41.455,,PARNA DA CHAPADA DA DIAMANTINA
9,2015/12/07 03:46:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,0.4,-12.364239999999999,-41.45819,,PARNA DA CHAPADA DA DIAMANTINA
10,2016/04/08 16:12:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,1,0.0,1.0,-12.376510000000001,-41.43707,,PARNA DA CHAPADA DA DIAMANTINA
11,2016/04/08 16:12:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,1,0.0,1.0,-12.37595,-41.43315,,PARNA DA CHAPADA DA DIAMANTINA
12,2016/04/08 16:21:00,AQUA_M-T,Brasil,BAHIA,IRAQUARA,Caatinga,1,0.0,1.0,-12.382,-41.431000000000004,,PARNA DA CHAPADA DA DIAMANTINA
13,2017/10/30 16:24:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,0,0.0,1.0,-12.3649,-41.4671,,PARNA DA CHAPADA DA DIAMANTINA
14,2018/12/24 16:48:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,6,0.1,0.3,-12.36519,-41.47097,4.5,PARNA DA CHAPADA DA DIAMANTINA
15,2018/10/12 16:18:00,NPP-375,Brasil,BAHIA,IRAQUARA,Caatinga,32,0.0,1.0,-12.394639999999999,-41.43312,3.4,PARNA DA CHAPADA DA DIAMANTINA
16,2019/10/17 16:19:23,NOAA-20,Brasil,BAHIA,IRAQUARA,Caatinga,17,0.0,1.0,-12.36817,-41.46886,,PARNA DA CHAPADA DA DIAMANTINA
17,2019/03/17 19:28:25,NOAA-19,Brasil,BAHIA,IRAQUARA,Caatinga,16,0.0,0.4,-12.38606,-41.43626,,PARNA DA CHAPADA DA DIAMANTINA
