,datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
0,2015/12/20 13:19:00,TERRA_M-T,Brasil,BAHIA,ITAETE,Caatinga,14,0.0,1.0,-13.157,-41.271,,PARNA DA CHAPADA DA DIAMANTINA
1,2015/12/20 17:16:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,14,0.0,1.0,-13.164060000000001,-41.25401,,PARNA DA CHAPADA DA DIAMANTINA
2,2015/12/21 17:38:04,NOAA-19,Brasil,BAHIA,ITAETE,Caatinga,15,0.3,1.0,-13.167,-41.251999999999995,,PARNA DA CHAPADA DA DIAMANTINA
3,2015/04/06 16:21:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,4,0.4,0.9,-12.988,-41.11600000000001,,PARNA DA CHAPADA DA DIAMANTINA
4,2015/12/19 17:00:00,GOES-13,Brasil,BAHIA,ITAETE,Caatinga,11,0.0,1.0,-13.17,-41.23,,PARNA DA CHAPADA DA DIAMANTINA
5,2015/10/21 16:01:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,31,0.0,1.0,-13.164539999999999,-41.1056,,PARNA DA CHAPADA DA DIAMANTINA
6,2015/12/20 17:16:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,14,0.0,1.0,-13.1613,-41.26225,,PARNA DA CHAPADA DA DIAMANTINA
7,2015/10/15 16:14:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,25,0.2,1.0,-13.09477,-41.07078,,PARNA DA CHAPADA DA DIAMANTINA
8,2015/09/30 15:55:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,10,0.0,1.0,-13.12381,-41.100570000000005,,PARNA DA CHAPADA DA DIAMANTINA
9,2015/08/22 16:27:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,2,0.0,1.0,-13.13079,-41.0781,,PARNA DA CHAPADA DA DIAMANTINA
10,2015/09/29 16:14:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,28,0.1,1.0,-12.97357,-41.14949,,PARNA DA CHAPADA DA DIAMANTINA
11,2015/11/18 13:19:00,TERRA_M-T,Brasil,BAHIA,ITAETE,Caatinga,0,0.2,1.0,-13.142999999999999,-41.115,,PARNA DA CHAPADA DA DIAMANTINA
12,2015/02/16 16:36:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,4,0.1,0.6,-13.16513,-41.10199,,PARNA DA CHAPADA DA DIAMANTINA
13,2015/11/02 13:19:00,TERRA_M-T,Brasil,BAHIA,ITAETE,Caatinga,2,0.0,0.1,-13.132,-41.122,,PARNA DA CHAPADA DA DIAMANTINA
14,2015/12/20 15:35:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,14,0.0,1.0,-13.16439,-41.26846,,PARNA DA CHAPADA DA DIAMANTINA
15,2015/12/20 15:35:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,14,0.0,1.0,-13.163889999999999,-41.26405,,PARNA DA CHAPADA DA DIAMANTINA
