,datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
0,2015/09/15 16:30:00,GOES-13,Brasil,BAHIA,PALMEIRAS,Caatinga,23,0.0,1.0,-12.7,-41.49,,PARNA DA CHAPADA DA DIAMANTINA
1,2015/09/15 18:30:00,MSG-03,Brasil,BAHIA,PALMEIRAS,Caatinga,24,0.0,1.0,-12.69,-41.53,,PARNA DA CHAPADA DA DIAMANTINA
2,2015/09/15 04:43:00,NPP-375,Brasil,BAHIA,PALMEIRAS,Caatinga,23,0.0,1.0,-12.70238,-41.46747,,PARNA DA CHAPADA DA DIAMANTINA
3,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.79241,-41.38722,,PARNA DA CHAPADA DA DIAMANTINA
4,2015/08/05 04:12:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,9,0.0,1.0,-13.03432,-41.443090000000005,,PARNA DA CHAPADA DA DIAMANTINA
5,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.78743,-41.375040000000006,,PARNA DA CHAPADA DA DIAMANTINA
6,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,18,0.0,1.0,-13.01577,-41.38923,,PARNA DA CHAPADA DA DIAMANTINA
7,2015/09/13 03:40:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.772110000000001,-41.38451,,PARNA DA CHAPADA DA DIAMANTINA
8,2015/09/15 17:17:00,NPP-375,Brasil,BAHIA,PALMEIRAS,Caatinga,23,0.0,1.0,-12.70013,-41.46671,,PARNA DA CHAPADA DA DIAMANTINA
9,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.78962,-41.38295,,PARNA DA CHAPADA DA DIAMANTINA
10,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,18,0.0,1.0,-13.01511,-41.38515,,PARNA DA CHAPADA DA DIAMANTINA
11,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.77663,-41.38531,,PARNA DA CHAPADA DA DIAMANTINA
12,2015/09/12 12:48:00,TERRA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.782,-41.379,,PARNA DA CHAPADA DA DIAMANTINA
13,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,17,0.0,1.0,-13.02736,-41.3793,,PARNA DA CHAPADA DA DIAMANTINA
14,2015/09/10 17:11:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,10,0.0,1.0,-12.49292,-41.31575,,PARNA DA CHAPADA DA DIAMANTINA
15,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.77944,-41.38123,,PARNA DA CHAPADA DA DIAMANTINA
16,2015/09/12 20:12:58,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,19,0.0,1.0,-13.015999999999998,-41.419,,PARNA DA CHAPADA DA DIAMANTINA
17,2015/09/15 15:36:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,20,0.0,1.0,-12.75746,-41.44565,,PARNA DA CHAPADA DA DIAMANTINA
18,2015/09/13 01:03:00,TERRA_M-M,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.789000000000001,-41.39,,PARNA DA CHAPADA DA DIAMANTINA
19,2015/09/12 20:13:02,NOAA-18,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.789000000000001,-41.39,,PARNA DA CHAPADA DA DIAMANTINA
20,2015/09/15 15:36:00,NPP-375,Brasil,BAHIA,PALMEIRAS,Caatinga,22,0.0,1.0,-12.70815,-41.49831,,PARNA DA CHAPADA DA DIAMANTINA
21,2015/09/15 15:36:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,20,0.0,1.0,-12.76452,-41.44242,,PARNA DA CHAPADA DA DIAMANTINA
22,2015/09/15 16:08:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,23,0.0,1.0,-12.7,-41.507,,PARNA DA CHAPADA DA DIAMANTINA
23,2015/09/13 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.772,-41.386,,PARNA DA CHAPADA DA DIAMANTINA
24,2015/09/12 23:30:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.78,-41.36,,PARNA DA CHAPADA DA DIAMANTINA
25,2015/09/12 20:12:58,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,18,0.0,1.0,-13.022,-41.394,,PARNA DA CHAPADA DA DIAMANTINA
26,2015/09/13 16:14:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.777460000000001,-41.37806,,PARNA DA CHAPADA DA DIAMANTINA
27,2015/09/12 03:59:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.785630000000001,-41.38604,,PARNA DA CHAPADA DA DIAMANTINA
28,2015/09/13 16:14:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.76481,-41.38763,,PARNA DA CHAPADA DA DIAMANTINA
29,2015/09/12 20:13:02,NOAA-18,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.79,-41.397,,PARNA DA CHAPADA DA DIAMANTINA
30,2015/09/15 17:26:04,NOAA-19,Brasil,BAHIA,ANDARAI,Caatinga,22,0.0,1.0,-12.782,-41.391000000000005,,PARNA DA CHAPADA DA DIAMANTINA
31,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,18,0.0,1.0,-13.01286,-41.39378,,PARNA DA CHAPADA DA DIAMANTINA
32,2015/09/16 16:58:00,NPP-375,Brasil,BAHIA,IRAMAIA,Caatinga,12,0.0,1.0,-13.31329,-41.09373,,PARNA DA CHAPADA DA DIAMANTINA
33,2015/09/12 16:30:00,MSG-03,Brasil,BAHIA,MUCUGE,Caatinga,19,0.0,1.0,-12.98,-41.43,,PARNA DA CHAPADA DA DIAMANTINA
34,2015/09/15 19:15:00,MSG-03,Brasil,BAHIA,PALMEIRAS,Caatinga,26,0.0,1.0,-12.66,-41.52,,PARNA DA CHAPADA DA DIAMANTINA
35,2015/09/15 18:00:00,GOES-13,Brasil,BAHIA,PALMEIRAS,Caatinga,23,0.0,1.0,-12.7,-41.49,,PARNA DA CHAPADA DA DIAMANTINA
36,2015/09/15 17:17:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,21,0.0,1.0,-12.75873,-41.433279999999996,,PARNA DA CHAPADA DA DIAMANTINA
37,2015/09/15 20:45:00,MSG-03,Brasil,BAHIA,PALMEIRAS,Caatinga,25,0.0,1.0,-12.66,-41.57,,PARNA DA CHAPADA DA DIAMANTINA
38,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.785960000000001,-41.37508,,PARNA DA CHAPADA DA DIAMANTINA
39,2015/09/16 04:24:00,NPP-375,Brasil,BAHIA,PALMEIRAS,Caatinga,25,0.0,1.0,-12.69157,-41.52623,,PARNA DA CHAPADA DA DIAMANTINA
40,2015/09/13 03:40:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,20,0.0,1.0,-12.774460000000001,-41.39651,,PARNA DA CHAPADA DA DIAMANTINA
41,2015/09/13 20:01:29,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,18,0.0,1.0,-12.795,-41.43600000000001,,PARNA DA CHAPADA DA DIAMANTINA
42,2015/09/15 17:17:00,NPP-375,Brasil,BAHIA,PALMEIRAS,Caatinga,23,0.0,1.0,-12.70406,-41.51186,,PARNA DA CHAPADA DA DIAMANTINA
43,2015/09/12 01:00:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.78,-41.34,,PARNA DA CHAPADA DA DIAMANTINA
44,2015/09/12 20:12:58,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,18,0.0,1.0,-13.032,-41.391999999999996,,PARNA DA CHAPADA DA DIAMANTINA
45,2015/09/16 04:24:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,23,0.0,1.0,-12.71291,-41.48771,,PARNA DA CHAPADA DA DIAMANTINA
46,2015/08/25 13:01:00,TERRA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,1,0.5,1.0,-12.735999999999999,-41.273999999999994,,PARNA DA CHAPADA DA DIAMANTINA
47,2015/09/13 20:01:29,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,19,0.0,1.0,-12.782,-41.422,,PARNA DA CHAPADA DA DIAMANTINA
48,2015/09/12 23:30:00,MSG-03,Brasil,BAHIA,MUCUGE,Caatinga,18,0.0,1.0,-12.78,-41.42,,PARNA DA CHAPADA DA DIAMANTINA
49,2015/09/12 01:00:00,GOES-13,Brasil,BAHIA,ANDARAI,Caatinga,21,0.0,1.0,-12.78,-41.36,,PARNA DA CHAPADA DA DIAMANTINA
50,2015/09/12 16:33:00,NPP-375,Brasil,BAHIA,ANDARAI,Caatinga,19,0.0,1.0,-12.78089,-41.38905,,PARNA DA CHAPADA DA DIAMANTINA
