Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2015-01-01;0;21,041667;58,458333;
2015-01-02;0;21,308333;59,166667;
2015-01-03;0;21,270833;61,625;
2015-01-04;0;21,175;59,541667;
2015-01-05;0;20,5875;63,875;
2015-01-06;0;21;67,083333;
2015-01-07;0;20,366667;72,875;
2015-01-08;4,4;19,966667;69,625;
2015-01-09;1,2;19,895833;78,375;
2015-01-10;1;20,366667;73,625;
2015-01-11;0;20,8625;67,291667;
2015-01-12;0;21,208333;62,25;
2015-01-13;0;20,708333;60,375;
2015-01-14;0;19,9375;62,75;
2015-01-15;0;20,791667;64,416667;
2015-01-16;0;20,658333;67,958333;
2015-01-17;0;21,125;62,25;
2015-01-18;0;21,6875;63,166667;
2015-01-19;1;21,191667;59,875;
2015-01-20;0;21,616667;52,333333;
2015-01-21;0;21,441667;64,958333;
2015-01-22;0;21,341667;64,333333;
2015-01-23;,2;21,3375;62,541667;
2015-01-24;0;20,675;59,625;
2015-01-25;0;20,541667;66,041667;
2015-01-26;0;20,316667;75,458333;
2015-01-27;2,4;21,75;63,375;
2015-01-28;0;22,0125;59,75;
2015-01-29;0;21,558333;54,416667;
2015-01-30;0;22,216667;62,25;
2015-01-31;0;22,066667;65,333333;
2015-02-01;0;22,041667;63,5;
2015-02-02;0;22,120833;59,333333;
2015-02-03;0;21,5;64,375;
2015-02-04;0;20,179167;74,708333;
2015-02-05;2,2;19,1625;84,083333;
2015-02-06;4,8;19,475;83,583333;
2015-02-07;20;19,7375;83,125;
2015-02-08;10;19,416667;81;
2015-02-09;,4;21,066667;69,875;
2015-02-10;0;20,970833;63,125;
2015-02-11;0;21,3125;64,041667;
2015-02-12;0;21,716667;57,333333;
2015-02-13;0;21,4125;62,708333;
2015-02-14;0;21,104167;63,125;
2015-02-15;0;20,808333;65,125;
2015-02-16;,8;20,308333;74,958333;
2015-02-17;3,8;20,941667;70,375;
2015-02-18;0;21,3375;64,166667;
2015-02-19;0;20,670833;71,541667;
2015-02-20;11,4;18,991667;76,25;
2015-02-21;3,8;19,725;70,333333;
2015-02-22;5,4;17,958333;86,708333;
2015-02-23;28,2;17,45;87,291667;
2015-02-24;28,8;19,120833;76,458333;
2015-02-25;,6;19,954167;80,875;
2015-02-26;6,6;21,2;76,833333;
2015-02-27;0;21,116667;75,875;
2015-02-28;8,4;19,816667;82,416667;
2015-03-01;5;20,720833;80,583333;
2015-03-02;0;21,033333;75,583333;
2015-03-03;3;19,6125;79,25;
2015-03-04;4,2;20,191667;69,708333;
2015-03-05;0;21,116667;66,125;
2015-03-06;0;21,416667;68,458333;
2015-03-07;0;20,670833;74,375;
2015-03-08;,6;21,5375;64,125;
2015-03-09;0;21,783333;60,666667;
2015-03-10;0;22,304167;65,458333;
2015-03-11;0;22,079167;67,125;
2015-03-12;0;21,65;59,916667;
2015-03-13;0;22,254167;56,916667;
2015-03-14;0;21,904167;63,25;
2015-03-15;0;21,845833;62,083333;
2015-03-16;0;21,783333;62,875;
2015-03-17;0;21,933333;61,666667;
2015-03-18;0;21,8;67,375;
2015-03-19;0;21,741667;63,166667;
2015-03-20;0;20,304167;68,875;
2015-03-21;0;21,104167;64,791667;
2015-03-22;3;20,425;76,041667;
2015-03-23;5;19,8;83,291667;
2015-03-24;0;21,9875;65,083333;
2015-03-25;0;21,570833;69,75;
2015-03-26;0;21,858333;74,375;
2015-03-27;,6;22,241667;69,583333;
2015-03-28;0;22,445833;66,791667;
2015-03-29;0;22,408333;64,833333;
2015-03-30;0;22,704167;61,083333;
2015-03-31;0;22,441667;59,083333;
2015-04-01;0;22,620833;51,083333;
2015-04-02;0;23,179167;46,166667;
2015-04-03;0;22,420833;54;
2015-04-04;0;22,575;64,041667;
2015-04-05;0;21,541667;72,625;
2015-04-06;51,6;21,85;73,416667;
2015-04-07;0;21,525;76,291667;
2015-04-08;,2;19,7125;83,541667;
2015-04-09;5,2;19,7125;83;
2015-04-10;,6;19,558333;81,25;
2015-04-11;3,8;19,75;75,583333;
2015-04-12;,6;20,466667;73,541667;
2015-04-13;0;20,541667;79,291667;
2015-04-14;4,8;20,341667;76,166667;
2015-04-15;0;20,483333;75,291667;
2015-04-16;0;21,2;69,625;
2015-04-17;0;21,4125;69,541667;
2015-04-18;0;21,920833;68,5;
2015-04-19;0;22,2375;70,666667;
2015-04-20;,4;21,495833;70,833333;
2015-04-21;0;22,145833;66,333333;
2015-04-22;0;22,241667;66,833333;
2015-04-23;0;22,479167;65,5;
2015-04-24;0;21,8625;72,583333;
2015-04-25;17,4;21,533333;77,083333;
2015-04-26;,6;20,133333;83,916667;
2015-04-27;51,6;18,541667;85,791667;
2015-04-28;,4;19,1125;82,541667;
2015-04-29;,2;18,9125;87,291667;
2015-04-30;4,8;18,55;90,5;
2015-05-01;9,4;17,583333;93,583333;
2015-05-02;5,6;17,85;90,125;
2015-05-03;,4;19,075;81,833333;
2015-05-04;1,8;19,441667;80,5;
2015-05-05;,2;20,408333;75,583333;
2015-05-06;0;20,495833;71,041667;
2015-05-07;0;20,5375;73,375;
2015-05-08;0;20,1375;77,458333;
2015-05-09;20,2;18,0125;85,375;
2015-05-10;0;18,5125;84,208333;
2015-05-11;2,2;20,5375;77,958333;
2015-05-12;,2;20,1875;78,166667;
2015-05-13;0;20,7;72,541667;
2015-05-14;0;18,604167;82,208333;
2015-05-15;12,6;15,766667;90,333333;
2015-05-16;1,4;16,541667;84,25;
2015-05-17;5,4;17,620833;85,833333;
2015-05-18;,2;16,770833;87,5;
2015-05-19;3;17,908333;76,25;
2015-05-20;,6;17,908333;84,5;
2015-05-21;17;17,25;89,958333;
2015-05-22;7,8;16,420833;86,791667;
2015-05-23;2,2;17,445833;77,125;
2015-05-24;0;17,775;78,416667;
2015-05-25;0;19,045833;75,708333;
2015-05-26;,2;19,25;74,916667;
2015-05-27;,8;19,2;76,791667;
2015-05-28;,2;18,8625;67,916667;
2015-05-29;0;19,4;69,125;
2015-05-30;0;19,641667;70,208333;
