Data Medicao,INSOLACAO TOTAL; MENSAL(h),NEBULOSIDADE; MEDIA MENSAL(décimos),NUMERO DE DIAS COM PRECIP; PLUV; MENSAL(número),PRECIPITACAO TOTAL; MENSAL(mm),TEMPERATURA MAXIMA MEDIA; MENSAL(°C),TEMPERATURA MEDIA COMPENSADA; MENSAL(°C),TEMPERATURA MINIMA MEDIA; MENSAL(°C),UMIDADE RELATIVA DO AR; MEDIA MENSAL(%),Ano Medicao
JAN,233.2,5.107526999999998,,13.2,21.971613,17.896774,66.282258,5.0,2015
FEV,171.2,6.702381,,74.6,22.187143,18.567857,73.089286,5.0,2015
MAR,241.7,4.956989,,7.7,22.837419,18.670968,65.766129,6.0,2015
ABR,191.3,5.588889,,61.3,22.412667000000006,19.11,73.533333,5.0,2015
MAI,148.5,6.913978,,37.8,20.147742,17.545161,83.935484,5.0,2015
JUN,135.5,7.377778,,51.1,18.798,16.373333,84.708333,5.0,2015
JUL,180.6,6.655914,,37.1,18.180645,15.596774,83.8,6.0,2015
AGO,217.8,5.860215,,38.2,18.216774,15.0,77.016129,7.0,2015
SET,276.7,2.966667,,2.7,21.106,16.26,59.875,6.0,2015
OUT,253.8,3.903226,,7.1,22.04,17.164516,59.096774,5.0,2015
NOV,278.7,3.792614,,44.0,24.014667000000006,18.596667,53.225,6.17328,2015
DEZ,297.0,3.709239,,10.4,23.985161,18.548387,55.37096800000001,6.17328,2015
JAN,141.5,7.688172,,362.8,22.253793,19.309677,80.41935500000002,6.17328,2016
FEV,240.3,5.161765,,18.6,22.415172,18.372414000000006,69.025862,6.17328,2016
MAR,251.7,4.879032,,1.3,22.986452,18.903226,67.725806,5.1444,2016
ABR,215.5,5.0,,7.5,22.054483,18.243333,68.060345,6.17328,2016
MAI,192.8,6.046196,,11.8,20.77871,17.464516,75.225806,6.17328,2016
JUN,195.3,6.352778,,24.4,19.623333,16.166667,79.616667,5.0,2016
JUL,212.4,5.3021980000000015,,21.0,18.650667,15.245160999999998,75.44166700000002,5.1444,2016
AGO,234.5,5.013587,,30.0,19.602,15.66129,70.35,6.17328,2016
SET,199.8,6.097222,,35.0,20.128,16.25,72.583333,5.1444,2016
OUT,261.0,5.040761,,33.2,22.025161,17.606451999999994,65.879032,7.202160000000001,2016
NOV,204.8,5.5833330000000005,,57.9,22.052,17.946667,68.783333,6.17328,2016
DEZ,231.1,5.44086,,37.0,22.825806,18.519355,64.072581,6.0,2016
JAN,283.0,4.591398000000001,,6.6,23.508387,18.167742,57.87096800000001,5.0,2017
FEV,184.8,6.119048,,13.7,23.218571,18.514286,61.116071,6.0,2017
MAR,229.6,5.462366,,73.8,23.213548,18.63871,64.379032,5.0,2017
ABR,212.3,5.411111,,21.9,21.896,18.426667,74.616667,5.0,2017
MAI,211.6,5.7311830000000015,,21.2,20.622581,17.190323,78.75,5.0,2017
JUN,189.7,6.613636,,24.4,19.326,16.117241,80.0,5.0,2017
JUL,174.1,7.0,,29.6,17.027097,14.177419,81.241935,7.0,2017
AGO,234.0,4.860215,,19.2,18.486452,14.819354999999998,73.717742,6.0,2017
SET,201.1,6.811798,,33.7,18.494,14.963333,75.625,7.202160000000001,2017
OUT,273.9,4.089674,,4.2,21.645161,16.83871,60.540323,6.17328,2017
NOV,196.4,6.629213,,95.2,21.816667,17.9,72.475,5.1444,2017
DEZ,217.7,5.43956,,47.7,22.684,18.6,68.846774,5.1444,2017
JAN,267.3,5.190217,,44.8,22.768,18.245161,64.967742,6.17328,2018
FEV,178.9,6.966463,,191.3,22.112857,18.407143,77.651786,5.1444,2018
MAR,194.5,6.127717,,114.7,22.442581,18.909677,78.209677,5.1444,2018
ABR,174.1,6.972222,,24.9,20.925333,17.816667000000006,80.241667,6.17328,2018
MAI,176.3,6.559139999999998,,28.9,19.856667,16.822581,81.266129,6.17328,2018
JUN,166.9,6.986111,,50.7,18.586,16.106667,83.416667,7.202160000000001,2018
JUL,211.4,5.480769,,8.0,18.218621,15.06,75.858333,5.1444,2018
AGO,245.9,4.328804,,9.3,19.558065,15.590323,69.08870999999999,6.17328,2018
SET,236.5,4.382022,,15.7,20.788,16.376667,65.108333,5.1444,2018
OUT,210.8,5.288462,,13.8,22.644667,17.929032,62.091667,5.1444,2018
NOV,194.1,6.207865,,20.7,22.155333,17.806667,66.275,6.17328,2018
DEZ,195.0,5.793011,,93.0,21.974194,17.906451999999994,72.427419,6.17328,2018
JAN,243.3,4.891304,,6.3,22.923871,18.003226,60.82258100000001,6.17328,2019
FEV,206.8,5.342262,,164.7,23.912857,19.242857,64.75892900000001,5.1444,2019
MAR,256.3,5.147849,,79.5,23.489677,19.283871,68.040323,6.17328,2019
ABR,214.3,5.861111,,53.7,22.744,19.29,76.56666700000002,5.1444,2019
MAI,214.9,4.932796,,18.3,21.855484,18.532258,75.322581,5.1444,2019
JUN,179.7,6.722222,,50.8,19.194483,16.36,80.833333,6.17328,2019
JUL,195.3,5.927419,,38.3,18.492258,14.919355,79.040323,6.17328,2019
AGO,206.0,6.115591,,34.1,18.314667,15.016667000000002,79.741935,6.17328,2019
SET,233.8,5.013889,,23.6,20.142,16.44,73.591667,6.17328,2019
OUT,266.5,4.422043,,2.4,22.328387,17.319354999999998,62.782258,6.17328,2019
NOV,240.9,4.569444,,18.5,23.583333,18.323333,59.566667,5.1444,2019
DEZ,277.2,4.233871,,44.0,24.090323,18.458065,59.22580600000001,6.17328,2019
